CountyName,Average Median Home Value
Alameda,818429.1666666667
Amador,264447.61904761905
Butte,219312.96296296298
Calaveras,242791.6666666667
Contra Costa,738645.138888889
El Dorado,379482.7777777778
Fresno,217372.8260869565
Glenn,174737.5
Humboldt,272937.0370370371
Imperial,187488.3333333333
Inyo,269463.8888888889
Kern,169338.8888888889
Kings,162454.16666666666
Lake,209513.88888888888
Lassen,179250.0
Los Angeles,713526.041666667
Madera,263495.23809523816
Marin,1599832.2222222225
Mariposa,171087.5
Mendocino,378858.3333333333
Merced,197722.22222222222
Modoc,54308.333333333336
Mono,395280.55555555556
Monterey,657050.0
Napa,721536.111111111
Nevada,367548.61111111107
Orange,797879.9145299145
Placer,456326.85185185174
Plumas,202672.22222222222
Riverside,330290.3153153153
Sacramento,343524.56140350876
San Benito,560833.3333333334
San Bernardino,261034.5833333332
San Diego,647273.0392156863
San Francisco,1147925.0
San Joaquin,342608.92857142864
San Luis Obispo,551408.3333333334
San Mateo,1701707.666666667
Santa Barbara,867602.7777777779
Santa Clara,1574657.1969696968
Santa Cruz,664461.6666666667
Shasta,203983.33333333334
Siskiyou,162076.0416666667
Solano,381915.4761904762
Sonoma,625384.9206349206
Stanislaus,261653.47222222222
Sutter,214552.08333333334
Tulare,161552.9411764706
Ventura,640977.2222222222
Yolo,369421.6666666667
Yuba,249745.8333333333
